City,Country,Lat,Long,Temp_max,Humidity,Cloudiness,Wind_Speed
Aswān,EG,24.09,32.91,82.18,38,0,13.04
Zacualpan,MX,21.25,-105.17,84.2,74,90,3.91
Corinth,GR,37.94,22.96,66.0,75,89,1.01
kimparana,ML,12.83,-4.92,75.34,84,100,6.98
Hastings,GB,50.86,0.57,55.0,87,26,21.25
Mackay,AU,-21.15,149.2,80.6,65,44,12.75
Celestún,MX,20.87,-90.4,81.48,81,64,9.91
Tabory,RU,58.52,64.55,41.92,91,70,9.04
Gīdolē,ET,5.65,37.37,56.89,100,100,2.46
Atbasar,KZ,51.8,68.33,44.83,73,93,21.14
Kenai,US,60.55,-151.26,54.0,66,90,5.82
Kangaatsiaq,GL,68.31,-53.46,26.96,87,25,23.33
Poshekhon'ye,RU,58.5,39.14,51.19,97,55,5.03
Necochea,AR,-38.55,-58.74,42.01,95,0,3.0
Abu Samrah,SY,35.3,37.18,67.19,89,0,8.32
Ostrovnoy,RU,68.05,39.51,48.58,87,97,19.26
Patawag,PH,8.11,122.62,85.1,70,100,2.71
Manta,EC,-0.95,-80.73,69.8,83,75,9.17
Ojinaga,MX,29.57,-104.42,80.6,28,1,4.7
Port Macquarie,AU,-31.43,152.92,75.0,28,0,5.08
Qasigiannguit,GL,68.82,-51.19,23.0,45,0,3.36
Neuquén,AR,-38.95,-68.06,57.99,62,87,8.25
Tulun,RU,54.56,100.58,46.81,81,99,1.52
Mount Gambier,AU,-37.83,140.77,53.6,76,40,14.99
Dzhebariki-Khaya,RU,62.22,135.8,56.28,47,0,2.48
Kropotkin,RU,45.44,40.58,59.94,83,0,8.03
Santa Cruz de la Sierra,BO,-17.8,-63.17,73.4,73,0,5.82
Mackenzie,CA,55.3,-123.17,50.0,93,90,2.24
Saint-Marc,HT,19.11,-72.69,81.12,74,5,3.44
Luganville,VU,-15.53,167.17,84.2,66,20,6.93
Quelimane,MZ,-17.88,36.89,64.4,88,40,3.36
San Patricio,MX,19.22,-104.7,79.79,87,75,2.86
Shelburne,CA,44.08,-80.2,52.0,100,90,6.51
Alvarães,BR,-3.22,-64.8,74.34,94,61,1.61
Broome,US,42.25,-75.83,60.8,63,1,1.97
Yeniseysk,RU,58.45,92.17,48.96,79,76,7.78
Salinópolis,BR,-0.61,-47.36,78.49,83,21,10.6
Mahibadhoo,MV,3.78,72.97,81.32,77,100,2.62
Kiama,AU,-34.68,150.87,68.0,43,0,13.0
Copiapó,CL,-27.37,-70.33,55.4,82,55,6.93
Mehrān,IR,33.12,46.16,62.6,25,0,4.7
Avera,US,33.19,-82.53,64.4,100,90,3.36
Jirkov,CZ,50.5,13.45,57.99,100,75,2.24
Macia,MZ,-25.03,33.1,57.67,90,0,4.5
Paamiut,GL,61.99,-49.67,38.61,72,100,5.53
Brae,GB,60.4,-1.35,42.8,81,100,11.41
Hūn,LY,29.13,15.95,76.66,32,0,5.97
Pervomayskiy,RU,53.25,40.29,53.69,82,0,4.05
Colares,PT,38.8,-9.45,70.0,94,35,3.0
Sassandra,CI,4.95,-6.08,74.03,94,75,5.35
Ust-Nera,RU,64.57,143.2,47.8,51,0,2.3
Son La,VN,21.32,103.9,72.52,95,100,1.43
Mayo,US,38.89,-76.51,69.01,63,1,3.36
Bandarbeyla,SO,9.49,50.81,81.18,64,6,22.88
Juradó,CO,7.11,-77.76,76.32,91,100,3.27
Samarinda,ID,-0.5,117.15,73.92,97,100,3.51
Ilām,NP,26.92,87.92,78.8,88,75,3.36
Srandakan,ID,-7.94,110.25,86.0,54,86,12.66
Chahuites,MX,16.28,-94.18,80.15,82,100,5.37
Kovernino,RU,57.13,43.81,48.04,94,28,6.24
Miguel Hidalgo,MX,19.42,-99.2,68.0,59,75,17.22
Nyurba,RU,63.28,118.33,55.0,44,6,6.8
Bago,MM,17.34,96.48,80.6,94,75,5.82
Grand Gaube,MU,-20.01,57.66,73.0,66,20,5.01
Bariloche,AR,-41.15,-71.31,46.99,44,91,5.82
Santa Vitória do Palmar,BR,-33.52,-53.37,53.55,91,97,2.51
Florø,NO,61.6,5.03,46.4,81,100,8.05
Kichera,RU,55.94,110.1,56.26,49,0,3.04
Lusaka,ZM,-15.41,28.29,57.2,71,0,4.7
Pisco,PE,-13.7,-76.22,61.0,87,15,9.17
Vale,GE,41.62,42.87,59.0,87,0,3.36
Cockeysville,US,39.48,-76.64,64.99,79,92,6.89
Jiuquan,CN,39.74,98.52,70.57,22,89,6.29
Abnūb,EG,27.27,31.15,72.54,76,0,11.39
Ol'ga,RU,43.74,135.29,59.14,79,100,10.25
Fallon,US,39.47,-118.78,77.0,16,20,6.93
Aykhal,RU,66.0,111.5,50.0,43,0,4.47
Beïnamar,TD,8.67,15.38,68.94,92,100,3.56
Luba,GQ,3.46,8.55,73.4,100,20,2.24
Stillwater,US,36.12,-97.06,63.0,82,1,4.7
Rosa Zarate,EC,0.33,-79.47,71.49,89,100,2.13
Kuril'sk,RU,45.23,147.88,56.91,62,5,6.33
Bayanday,RU,53.07,105.51,55.13,50,14,13.2
Nishihara,JP,26.18,127.76,86.0,83,75,11.41
Corrente,BR,-3.74,-43.34,71.55,93,0,2.75
Coquimbo,CL,-29.95,-71.34,53.6,93,100,5.82
Nioro,GM,13.35,-15.75,75.42,96,94,3.65
São Sebastião,BR,-23.76,-45.41,68.02,86,81,8.1
Nantucket,US,41.28,-70.1,66.2,68,1,9.17
Fort Myers Beach,US,26.45,-81.95,80.01,73,1,9.17
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,25,12,4.47
Uribia,CO,11.71,-72.27,85.05,73,100,3.78
Dayong,CN,25.02,118.29,78.8,83,90,4.47
Termini Imerese,IT,37.98,13.7,73.0,82,12,3.0
Vale da Amoreira,PT,39.07,-7.7,66.0,89,22,1.07
Henties Bay,NA,-22.12,14.28,55.0,95,2,2.44
Narva-Jõesuu,EE,59.46,28.04,56.16,93,67,9.46
Cayenne,GF,4.93,-52.33,77.0,100,20,8.08
Sundargarh,IN,22.12,84.03,86.0,70,75,9.17
Matara,LK,5.95,80.54,83.8,72,96,9.46
